iter	Passed	Remaining
999	1299	24683
1000	1300	24684
1001	1301	24681
1002	1302	24677
1003	1304	24672
1004	1305	24667
1005	1306	24663
1006	1307	24658
1007	1308	24652
1008	1309	24648
1009	1310	24643
1010	1311	24638
1011	1312	24633
1012	1313	24626
1013	1315	24624
1014	1316	24622
1015	1317	24617
1016	1318	24612
1017	1319	24605
1018	1320	24601
1019	1321	24597
1020	1322	24590
1021	1323	24585
1022	1325	24586
1023	1326	24581
1024	1327	24576
1025	1328	24571
1026	1329	24569
1027	1331	24564
1028	1332	24558
1029	1333	24553
1030	1334	24549
1031	1335	24546
1032	1336	24538
1033	1337	24535
1034	1338	24531
1035	1339	24526
1036	1341	24524
1037	1342	24529
1038	1343	24525
1039	1345	24521
1040	1346	24518
1041	1347	24513
1042	1348	24511
1043	1349	24507
1044	1351	24505
1045	1352	24502
1046	1353	24497
1047	1354	24494
1048	1355	24489
1049	1356	24483
1050	1357	24479
1051	1358	24476
1052	1359	24470
1053	1361	24467
1054	1362	24464
1055	1363	24459
1056	1364	24454
1057	1365	24448
1058	1366	24445
1059	1367	24442
1060	1369	24440
1061	1370	24436
1062	1371	24430
1063	1372	24428
1064	1373	24426
1065	1375	24423
1066	1376	24419
1067	1377	24415
1068	1378	24411
1069	1379	24408
1070	1380	24402
1071	1381	24398
1072	1382	24394
1073	1384	24394
1074	1385	24392
1075	1386	24389
1076	1388	24387
1077	1389	24386
1078	1390	24382
1079	1391	24378
1080	1392	24373
1081	1393	24372
1082	1395	24369
1083	1396	24366
1084	1397	24361
1085	1398	24361
1086	1400	24359
1087	1401	24353
1088	1402	24353
1089	1403	24351
1090	1404	24347
1091	1405	24342
1092	1407	24342
1093	1408	24335
1094	1409	24332
1095	1410	24326
1096	1411	24324
1097	1412	24319
1098	1413	24316
1099	1415	24312
1100	1416	24309
1101	1417	24304
1102	1418	24301
1103	1419	24298
1104	1420	24294
1105	1421	24291
1106	1422	24285
1107	1424	24282
1108	1425	24280
1109	1426	24276
1110	1427	24275
1111	1428	24270
1112	1430	24267
1113	1431	24268
1114	1432	24264
1115	1433	24260
1116	1434	24256
1117	1435	24251
1118	1437	24249
1119	1438	24245
1120	1439	24244
1121	1440	24241
1122	1441	24238
1123	1442	24233
1124	1444	24229
1125	1445	24229
1126	1446	24228
1127	1447	24225
1128	1449	24220
1129	1450	24219
1130	1451	24216
1131	1452	24213
1132	1453	24209
1133	1455	24207
1134	1456	24202
1135	1457	24197
1136	1458	24192
1137	1459	24188
1138	1460	24183
1139	1461	24178
1140	1462	24171
1141	1463	24168
1142	1464	24165
1143	1465	24161
1144	1467	24158
1145	1468	24155
1146	1469	24151
1147	1470	24148
1148	1471	24144
1149	1473	24154
1150	1474	24150
1151	1475	24147
1152	1476	24142
1153	1478	24140
1154	1479	24137
1155	1480	24132
1156	1481	24127
1157	1482	24125
1158	1483	24121
1159	1484	24118
1160	1486	24113
1161	1487	24109
1162	1488	24105
1163	1489	24100
1164	1490	24098
1165	1492	24104
1166	1493	24102
1167	1494	24099
1168	1495	24096
1169	1496	24090
1170	1498	24087
1171	1499	24083
1172	1500	24079
1173	1501	24077
1174	1502	24075
1175	1503	24073
1176	1505	24068
1177	1506	24064
1178	1507	24063
1179	1508	24059
1180	1509	24056
1181	1510	24054
1182	1512	24051
1183	1513	24048
1184	1514	24045
1185	1515	24040
1186	1516	24038
1187	1517	24035
1188	1518	24029
1189	1520	24026
1190	1521	24023
1191	1522	24022
1192	1523	24020
1193	1524	24017
1194	1526	24013
1195	1527	24011
1196	1528	24010
1197	1529	24007
1198	1530	24002
1199	1531	23998
1200	1533	23995
1201	1534	23993
1202	1535	23989
1203	1536	23986
1204	1538	23993
1205	1539	23988
1206	1540	23984
1207	1541	23983
1208	1542	23979
1209	1544	23977
1210	1545	23973
1211	1546	23969
1212	1547	23966
1213	1548	23965
